id,feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,label
89,0.5973,0.6867,0.2949,0.6451,0.4589,0.4032,0.902,0.6814,0.1574,0.0921,0
90,0.8273,0.4542,0.8347,0.8028,0.1775,0.1764,0.6482,0.3771,0.6597,0.8138,1
91,0.2588,0.9915,0.5331,0.7308,0.2953,0.191,0.6763,0.5134,0.2871,0.7911,0
92,0.6435,0.4438,0.1018,0.0626,0.484,0.1291,0.7755,0.8079,0.3118,0.5781,0
93,0.2289,0.6686,0.1854,0.8758,0.1257,0.4207,0.5857,0.6735,0.5918,0.9446,0
94,0.5112,0.6261,0.8397,0.3266,0.4652,0.7701,0.104,0.8452,0.4029,0.8132,1
95,0.1736,0.8423,0.5891,0.3036,0.315,0.9151,0.1321,0.2017,0.1966,0.3591,1
96,0.2889,0.2174,0.8718,0.616,0.3913,0.3118,0.6648,0.5116,0.3305,0.5208,0
97,0.3873,0.4104,0.0032,0.9132,0.1502,0.2511,0.9829,0.1102,0.4191,0.9231,0
98,0.944,0.8462,0.7681,0.1394,0.6743,0.6975,0.5726,0.6192,0.3041,0.8956,0
99,0.7088,0.5221,0.412,0.9934,0.3235,0.6599,0.9494,0.9969,0.0675,0.5721,1
100,0.1158,0.2737,0.9761,0.4321,0.4736,0.848,0.4755,0.5119,0.4339,0.6887,0
101,0.5212,0.5204,0.3629,0.3299,0.4487,0.3448,0.3841,0.6715,0.7596,0.3042,0
102,0.204,0.5375,0.3837,0.3021,0.3807,0.924,0.0879,0.4029,0.1676,0.0328,0
103,0.6441,0.0618,0.0054,0.19,0.4271,0.4524,0.1536,0.6655,0.7904,0.3094,1
104,0.7758,0.8922,0.7234,0.8074,0.6134,0.1862,0.0586,0.715,0.0407,0.0644,1
105,0.1479,0.4274,0.1946,0.6676,0.6027,0.2471,0.1639,0.9158,0.8346,0.273,0
106,0.1015,0.4908,0.2473,0.4536,0.6722,0.7128,0.2216,0.4424,0.7035,0.3786,1
107,0.4408,0.927,0.0442,0.5605,0.6913,0.2399,0.3087,0.8908,0.3637,0.0888,1
108,0.0982,0.7791,0.8217,0.1803,0.0551,0.5174,0.8539,0.0746,0.5354,0.2009,1
109,0.018,0.5993,0.6303,0.6043,0.6475,0.886,0.9864,0.0272,0.4791,0.5389,1
110,0.6312,0.2814,0.2617,0.1922,0.8558,0.094,0.7913,0.8807,0.2696,0.1434,0
111,0.4943,0.7695,0.2869,0.6398,0.0464,0.9947,0.3645,0.6867,0.2089,0.0497,0
112,0.6428,0.7661,0.8504,0.6515,0.6004,0.2615,0.4111,0.8606,0.4422,0.3107,0
113,0.4801,0.2565,0.4826,0.5628,0.1911,0.8138,0.5193,0.8265,0.1353,0.9822,0
114,0.9992,0.4999,0.3285,0.7278,0.8611,0.0839,0.332,0.3891,0.2948,0.2418,1
115,0.6531,0.6786,0.1769,0.6529,0.4295,0.3815,0.3053,0.4305,0.0167,0.9517,1
116,0.4002,0.1393,0.6806,0.2775,0.0362,0.2123,0.6629,0.4187,0.6399,0.5845,1
117,0.8639,0.7175,0.3752,0.4926,0.5645,0.0277,0.8213,0.5647,0.1054,0.4281,0
118,0.6374,0.789,0.3003,0.3949,0.4003,0.7698,0.0731,0.6392,0.7014,0.3086,0
119,0.3237,0.7117,0.9761,0.9769,0.6532,0.7534,0.2252,0.8571,0.0706,0.9223,0
120,0.7994,0.2253,0.2614,0.7178,0.5283,0.4941,0.3963,0.2918,0.7589,0.4353,1
121,0.5426,0.3988,0.3583,0.7352,0.413,0.881,0.5304,0.4364,0.6284,0.094,1
122,0.2868,0.8421,0.9985,0.6616,0.3801,0.9935,0.5502,0.315,0.306,0.2977,1
123,0.1245,0.7106,0.671,0.2981,0.5292,0.5772,0.4578,0.343,0.8798,0.2227,0
124,0.286,0.0427,0.4804,0.3023,0.279,0.3031,0.7306,0.1978,0.8883,0.5375,1
125,0.5626,0.9028,0.4144,0.2478,0.6138,0.882,0.3022,0.6223,0.1729,0.6383,0
126,0.3063,0.8847,0.1625,0.1676,0.1407,0.3031,0.2817,0.8253,0.742,0.6675,1
127,0.5708,0.067,0.7327,0.8515,0.9383,0.8327,0.4784,0.6748,0.8405,0.3595,1
128,0.4504,0.6702,0.0253,0.0023,0.0197,0.0498,0.8774,0.2276,0.1363,0.1817,1
129,0.9828,0.2662,0.1474,0.0717,0.2235,0.4649,0.7606,0.8367,0.4488,0.1425,1
130,0.7745,0.6882,0.5466,0.1674,0.9534,0.1077,0.4885,0.2813,0.7166,0.2551,0
131,0.4638,0.3956,0.0622,0.5856,0.8539,0.385,0.1794,0.9517,0.3779,0.7047,1
132,0.1967,0.3745,0.3755,0.9753,0.3895,0.0753,0.3464,0.8296,0.8943,0.1286,0
133,0.4925,0.5686,0.8456,0.1706,0.0104,0.7722,0.0156,0.0618,0.8025,0.722,0
134,0.6983,0.7709,0.0583,0.312,0.2247,0.0655,0.8941,0.4285,0.992,0.3248,0
135,0.0008,0.9687,0.7352,0.6362,0.7031,0.049,0.6676,0.6369,0.821,0.8602,0
136,0.4257,0.5624,0.61,0.4587,0.2237,0.147,0.0981,0.8939,0.05,0.7827,0
137,0.9724,0.8114,0.909,0.2455,0.291,0.8263,0.8694,0.7324,0.6865,0.5106,1
138,0.1032,0.6793,0.0205,0.6812,0.26,0.0245,0.3807,0.1487,0.5822,0.5804,0
139,0.4978,0.9476,0.0078,0.1157,0.6495,0.8002,0.7468,0.2641,0.1082,0.398,1
140,0.8057,0.6136,0.9598,0.7829,0.3226,0.1424,0.5518,0.6794,0.1989,0.4342,0
141,0.6397,0.8121,0.0734,0.8046,0.964,0.7579,0.072,0.2886,0.2435,0.7802,0
142,0.1276,0.4876,0.8417,0.6949,0.323,0.9265,0.455,0.2863,0.0462,0.6424,1
143,0.5725,0.32,0.6668,0.6424,0.7606,0.517,0.8376,0.0154,0.9245,0.4354,0
144,0.3497,0.8751,0.818,0.9281,0.1118,0.1047,0.9649,0.2001,0.2199,0.8456,1
145,0.4638,0.519,0.9825,0.0564,0.9526,0.0269,0.3916,0.3438,0.4733,0.7299,0
146,0.6379,0.1346,0.9701,0.7058,0.9206,0.3996,0.906,0.3004,0.7983,0.0136,1
147,0.6338,0.6351,0.4078,0.7774,0.6128,0.1671,0.0544,0.0084,0.8725,0.4787,1
148,0.3702,0.8957,0.6196,0.9216,0.4412,0.6994,0.7513,0.6175,0.5638,0.6021,0
149,0.2585,0.6834,0.0784,0.1552,0.7475,0.8883,0.074,0.024,0.1457,0.0253,1
150,0.3038,0.4998,0.6817,0.1721,0.8386,0.0818,0.4872,0.1801,0.3761,0.1963,0
151,0.4336,0.5427,0.9591,0.6965,0.1154,0.2788,0.2258,0.702,0.0692,0.7615,0
152,0.2645,0.9805,0.4102,0.3812,0.3931,0.3168,0.9009,0.7712,0.9646,0.3267,0
153,0.8561,0.9978,0.2343,0.5476,0.665,0.5627,0.0527,0.7869,0.719,0.2759,1
154,0.4749,0.3,0.6968,0.9745,0.8149,0.9462,0.4381,0.335,0.3256,0.6299,1
155,0.2624,0.3084,0.1029,0.2589,0.3854,0.2145,0.9267,0.3271,0.6381,0.761,0
156,0.1438,0.04,0.4853,0.9811,0.4371,0.7624,0.5668,0.9133,0.9004,0.7518,1
157,0.5032,0.2189,0.0872,0.5114,0.5746,0.448,0.8288,0.2265,0.1518,0.1199,0
158,0.3622,0.4312,0.3459,0.7311,0.1066,0.4049,0.6641,0.4964,0.6432,0.5366,1
159,0.2756,0.3193,0.7,0.8667,0.7883,0.6034,0.8952,0.0285,0.124,0.5062,1
160,0.0401,0.5229,0.3608,0.2171,0.2847,0.1972,0.199,0.6628,0.5172,0.5719,0
161,0.1381,0.1576,0.0929,0.6057,0.6626,0.0917,0.1594,0.1278,0.0042,0.4264,1
162,0.4828,0.9272,0.5483,0.2063,0.9833,0.6774,0.5378,0.9484,0.1834,0.999,1
163,0.3448,0.9104,0.9358,0.9792,0.9218,0.935,0.9251,0.2931,0.3595,0.3282,0
164,0.1109,0.9156,0.7971,0.1748,0.0142,0.1651,0.8,0.0854,0.6236,0.9291,1
165,0.9907,0.695,0.4387,0.5554,0.7054,0.8367,0.1696,0.1549,0.7353,0.6323,1
166,0.91,0.2477,0.9202,0.9734,0.7576,0.3564,0.4734,0.4378,0.0751,0.0833,1
167,0.9195,0.2582,0.9823,0.1352,0.0204,0.381,0.4345,0.0945,0.9127,0.1382,0
168,0.4516,0.8797,0.9646,0.5528,0.5342,0.7161,0.024,0.834,0.2979,0.8617,1
169,0.5222,0.5663,0.9608,0.4451,0.3856,0.159,0.3251,0.5313,0.513,0.9265,0
170,0.0292,0.2811,0.8126,0.3477,0.2706,0.9974,0.9891,0.8699,0.5288,0.0432,0
171,0.6254,0.0836,0.1241,0.1374,0.7367,0.7854,0.71,0.1405,0.6798,0.3043,0
172,0.8279,0.2243,0.0555,0.5775,0.7988,0.5954,0.8739,0.4467,0.6987,0.6055,0
173,0.0379,0.7987,0.646,0.9957,0.1408,0.1499,0.7651,0.7164,0.1852,0.6996,0
174,0.3437,0.5416,0.35,0.3404,0.5497,0.7817,0.1373,0.99,0.461,0.9375,1
175,0.9425,0.2898,0.5409,0.345,0.0258,0.3408,0.8043,0.3461,0.047,0.8733,0
176,0.1527,0.0297,0.7733,0.7117,0.266,0.8675,0.6104,0.5411,0.8998,0.2704,0
177,0.7329,0.0957,0.4072,0.1201,0.7859,0.5276,0.1335,0.1264,0.1422,0.5836,0
178,0.0299,0.0487,0.4882,0.9152,0.1226,0.5511,0.7117,0.0216,0.5589,0.2164,1
179,0.9943,0.1583,0.5837,0.0742,0.3837,0.4228,0.8233,0.3499,0.9803,0.997,1
180,0.3254,0.0339,0.5453,0.1528,0.5428,0.8335,0.7258,0.7704,0.614,0.9574,1
181,0.4423,0.2688,0.4463,0.1011,0.3847,0.1342,0.5475,0.8559,0.4976,0.3411,0
182,0.5135,0.0094,0.5681,0.5744,0.6262,0.8262,0.9661,0.9803,0.6359,0.3993,1
183,0.5058,0.0659,0.1905,0.7635,0.9125,0.0982,0.0323,0.5814,0.0459,0.3164,0
184,0.143,0.9665,0.9226,0.8176,0.1004,0.4496,0.6316,0.9636,0.9409,0.6646,0
185,0.4045,0.5587,0.0678,0.7632,0.5097,0.8044,0.4864,0.9473,0.2838,0.3608,0
186,0.1317,0.8924,0.5278,0.1832,0.406,0.5601,0.1991,0.7823,0.9591,0.6591,0
187,0.8846,0.1815,0.8216,0.7105,0.5159,0.91,0.3368,0.333,0.753,0.7187,1
188,0.388,0.7577,0.1713,0.4186,0.9433,0.0897,0.0823,0.4354,0.9808,0.6986,1
189,0.0207,0.6407,0.9847,0.0242,0.2114,0.4791,0.6732,0.1442,0.9291,0.5376,1
190,0.7843,0.5266,0.1799,0.3719,0.1976,0.306,0.0367,0.2151,0.1403,0.1682,1
191,0.9863,0.5798,0.0539,0.929,0.1043,0.765,0.9777,0.9698,0.1113,0.3818,1
192,0.0628,0.2697,0.3794,0.7148,0.1755,0.3158,0.6476,0.1323,0.2941,0.7179,1
193,0.2055,0.1821,0.763,0.391,0.4472,0.2777,0.8129,0.4086,0.5446,0.2085,0
194,0.9226,0.5849,0.8633,0.6722,0.4157,0.2409,0.9126,0.877,0.0848,0.3389,0
195,0.9237,0.1832,0.5618,0.4121,0.9408,0.3143,0.6159,0.9563,0.5714,0.0784,0
196,0.2562,0.4752,0.5903,0.8653,0.4254,0.2575,0.0271,0.7733,0.9466,0.5293,0
197,0.6761,0.1002,0.0556,0.893,0.7708,0.6428,0.4412,0.9521,0.2167,0.8143,1
198,0.3602,0.8778,0.14,0.4735,0.861,0.8894,0.329,0.589,0.0873,0.3965,0
199,0.0159,0.8702,0.2526,0.08,0.8217,0.4486,0.7142,0.0816,0.2755,0.0452,0
200,0.5858,0.1877,0.8805,0.3797,0.645,0.0451,0.8308,0.0565,0.5677,0.6379,1
201,0.9363,0.9791,0.5775,0.7767,0.9416,0.7782,0.2733,0.7616,0.1298,0.4023,0
202,0.9074,0.2076,0.8454,0.108,0.1676,0.2,0.5001,0.0266,0.8914,0.3976,1
203,0.9706,0.3808,0.7902,0.5671,0.0176,0.5328,0.7955,0.7035,0.5169,0.3165,0
204,0.9131,0.622,0.8438,0.7089,0.2622,0.4268,0.4682,0.4586,0.4072,0.9837,1
205,0.4112,0.2738,0.6413,0.7834,0.8169,0.9383,0.8771,0.0677,0.0712,0.4629,0
206,0.3675,0.763,0.4328,0.3434,0.2004,0.6927,0.9282,0.3621,0.6684,0.6089,0
207,0.1595,0.5591,0.7823,0.2851,0.5326,0.2666,0.6092,0.5562,0.7512,0.3958,0
208,0.7402,0.2827,0.7639,0.4645,0.8887,0.4093,0.4992,0.2345,0.9074,0.2097,1
209,0.3804,0.7814,0.3028,0.2836,0.5212,0.9615,0.3149,0.2209,0.5583,0.6864,1
210,0.2426,0.5171,0.4867,0.3241,0.6358,0.678,0.6551,0.1111,0.4193,0.1319,1
211,0.4144,0.9037,0.4121,0.2607,0.8863,0.154,0.4004,0.7517,0.7573,0.8571,1
212,0.761,0.8286,0.0136,0.9234,0.6299,0.3897,0.7209,0.3038,0.8823,0.8317,0
213,0.2122,0.7719,0.7289,0.6669,0.4139,0.5104,0.5084,0.2078,0.6948,0.4919,1
214,0.6505,0.2193,0.3815,0.9344,0.5235,0.7342,0.2924,0.7162,0.4883,0.59,0
215,0.3311,0.4607,0.3301,0.2306,0.0219,0.6495,0.3446,0.3426,0.8217,0.3292,1
216,0.4715,0.6262,0.9569,0.0943,0.8608,0.9438,0.6298,0.0015,0.6585,0.0071,1
217,0.6102,0.8469,0.0851,0.8869,0.821,0.4191,0.9618,0.5126,0.4587,0.5161,0
218,0.4837,0.3328,0.8981,0.0919,0.8572,0.0917,0.2459,0.7219,0.9572,0.4568,1
219,0.5126,0.6427,0.4162,0.6206,0.9947,0.2856,0.318,0.3065,0.187,0.553,1
220,0.6012,0.4714,0.5984,0.9505,0.7109,0.4081,0.3615,0.9029,0.5385,0.2415,0
221,0.2179,0.8006,0.3391,0.8892,0.0963,0.9611,0.6939,0.3746,0.5155,0.7075,1
222,0.2922,0.5115,0.0712,0.5414,0.1166,0.2196,0.8508,0.0057,0.3402,0.7245,0
223,0.343,0.0628,0.8953,0.3466,0.2755,0.2621,0.0324,0.3878,0.4031,0.6876,1
224,0.5018,0.5078,0.8964,0.7623,0.9115,0.2365,0.13,0.0642,0.1484,0.8083,0
225,0.8519,0.4533,0.8914,0.5237,0.7623,0.0667,0.3632,0.9299,0.7307,0.7364,0
226,0.8454,0.8189,0.7416,0.5656,0.32,0.4465,0.0216,0.9948,0.8553,0.9768,0
227,0.9025,0.4162,0.6978,0.187,0.6817,0.4284,0.5187,0.4874,0.6593,0.852,0
228,0.7437,0.1458,0.0861,0.4446,0.6554,0.0184,0.66,0.9101,0.8981,0.2809,0
229,0.8817,0.505,0.459,0.8678,0.4793,0.473,0.7128,0.5059,0.3042,0.3137,1
230,0.0188,0.6034,0.5619,0.2934,0.679,0.3801,0.4973,0.3507,0.6068,0.0235,1
231,0.3193,0.2989,0.255,0.052,0.4882,0.1936,0.3092,0.468,0.0189,0.3065,1
232,0.5577,0.861,0.8255,0.5562,0.1578,0.7367,0.0752,0.4505,0.6411,0.5659,0
233,0.2798,0.239,0.7505,0.5364,0.0079,0.2447,0.0603,0.5887,0.4875,0.2844,0
234,0.1138,0.7543,0.2626,0.907,0.3239,0.3332,0.2449,0.8199,0.136,0.862,1
235,0.2164,0.8037,0.2393,0.8928,0.6904,0.5333,0.7278,0.6213,0.3017,0.371,0
236,0.5661,0.0753,0.8371,0.401,0.1098,0.3848,0.2112,0.3445,0.9963,0.3917,1
237,0.1528,0.9896,0.9874,0.7739,0.0552,0.941,0.1213,0.4449,0.3585,0.0207,0
238,0.5328,0.2948,0.5862,0.0534,0.4525,0.6905,0.1312,0.5825,0.7017,0.8504,1
239,0.8586,0.812,0.4249,0.1064,0.1555,0.2234,0.9485,0.1166,0.5638,0.1169,0
240,0.3171,0.0004,0.473,0.341,0.6943,0.698,0.1089,0.6366,0.106,0.9078,1
241,0.958,0.6627,0.183,0.46,0.938,0.9304,0.661,0.0258,0.8505,0.8322,0
242,0.8158,0.2028,0.5106,0.4181,0.6781,0.8636,0.9896,0.4823,0.2306,0.9426,0
243,0.9011,0.7291,0.1776,0.2727,0.2588,0.7639,0.482,0.9486,0.4256,0.9748,0
244,0.6705,0.5113,0.8032,0.3463,0.1222,0.123,0.7666,0.0288,0.4712,0.7749,0
245,0.1064,0.0131,0.059,0.1452,0.7271,0.6006,0.0894,0.9669,0.5753,0.8149,1
246,0.1739,0.9361,0.1634,0.0035,0.5582,0.8282,0.7604,0.2212,0.5896,0.1189,1
247,0.4631,0.8976,0.219,0.5363,0.659,0.0791,0.1666,0.3114,0.1621,0.8403,1
248,0.1595,0.7654,0.4441,0.8261,0.1124,0.4567,0.5418,0.8062,0.1277,0.7354,0
249,0.4859,0.3693,0.3427,0.5689,0.402,0.3706,0.7502,0.3178,0.8522,0.9527,1
250,0.9023,0.9982,0.3102,0.1443,0.8028,0.2842,0.0579,0.4253,0.8994,0.7622,0
251,0.6041,0.4732,0.9113,0.9032,0.5551,0.1344,0.5765,0.1403,0.2729,0.9978,0
252,0.9595,0.3029,0.4118,0.1255,0.3217,0.5535,0.9956,0.1189,0.31,0.7952,1
253,0.4697,0.0604,0.2217,0.0489,0.2711,0.4445,0.0753,0.0897,0.8699,0.7717,0
254,0.8591,0.7241,0.2631,0.3642,0.9454,0.6146,0.2751,0.3519,0.7634,0.9718,1
255,0.964,0.4072,0.0734,0.9734,0.4324,0.5203,0.543,0.3538,0.6921,0.8895,0
256,0.4763,0.9186,0.3202,0.8406,0.0705,0.7278,0.255,0.06,0.7231,0.0466,1
257,0.806,0.3646,0.4863,0.9411,0.9458,0.7697,0.7182,0.6118,0.8273,0.1556,0
258,0.128,0.2648,0.9497,0.138,0.1756,0.6635,0.2225,0.4139,0.6719,0.3775,0
259,0.6585,0.8774,0.6227,0.2296,0.9945,0.0378,0.6469,0.3227,0.5788,0.8826,1
260,0.096,0.8741,0.2111,0.2877,0.4595,0.0516,0.0076,0.1126,0.2279,0.0363,1
261,0.4128,0.9685,0.0698,0.3206,0.5538,0.238,0.6068,0.4038,0.1178,0.8463,0
