id,platform,text,latitude,longitude,timestamp
95,Facebook,Sample post content 95,24.879017,-179.052976,2025-04-18T12:51:50.488276
96,Facebook,Sample post content 96,-17.0086,10.199124,2024-10-07T12:51:50.488286
97,Instagram,Sample post content 97,13.270616,-28.644928,2025-04-20T12:51:50.488295
98,Facebook,Sample post content 98,-73.985374,-128.249316,2025-04-02T12:51:50.488451
99,Twitter,Sample post content 99,59.052067,112.522834,2025-04-19T12:51:50.488483
100,Twitter,Sample post content 100,53.680897,-108.107083,2024-06-25T12:51:50.488496
101,Instagram,Sample post content 101,-13.916191,-13.238851,2024-05-06T12:51:50.488516
102,Instagram,Sample post content 102,-48.201814,-167.989063,2024-07-24T12:51:50.488528
103,Instagram,Sample post content 103,-18.254568,-161.807811,2025-04-28T12:51:50.488539
104,Facebook,Sample post content 104,-8.002254,-52.108876,2024-06-02T12:51:50.488550
105,Instagram,Sample post content 105,-76.091291,-20.168425,2024-10-05T12:51:50.488559
106,Facebook,Sample post content 106,-28.763569,-74.426281,2024-12-29T12:51:50.488570
107,Facebook,Sample post content 107,50.350285,-30.383514,2025-01-15T12:51:50.488588
108,Instagram,Sample post content 108,30.130638,-23.884619,2024-06-27T12:51:50.488605
109,Twitter,Sample post content 109,-84.0165,-76.108204,2024-05-03T12:51:50.488617
110,Twitter,Sample post content 110,22.500814,-113.065079,2025-03-01T12:51:50.488627
111,Facebook,Sample post content 111,-87.372949,-178.212664,2025-01-19T12:51:50.488636
112,Twitter,Sample post content 112,-46.399857,-166.529846,2024-10-21T12:51:50.488646
113,Instagram,Sample post content 113,85.102649,178.23969,2024-07-03T12:51:50.488658
114,Twitter,Sample post content 114,81.280356,-43.449572,2024-08-03T12:51:50.488675
115,Instagram,Sample post content 115,-12.866049,-50.968439,2024-05-31T12:51:50.488691
116,Facebook,Sample post content 116,53.5679,70.604057,2024-10-23T12:51:50.488702
117,Twitter,Sample post content 117,-12.92498,-48.874956,2024-08-21T12:51:50.488719
118,Facebook,Sample post content 118,-54.567655,138.170746,2024-08-13T12:51:50.488728
119,Twitter,Sample post content 119,35.019633,128.055757,2025-02-16T12:51:50.488738
120,Twitter,Sample post content 120,32.678544,63.047101,2025-03-09T12:51:50.488748
121,Facebook,Sample post content 121,10.12839,72.775812,2024-07-16T12:51:50.488758
122,Instagram,Sample post content 122,-80.898106,161.231084,2025-01-17T12:51:50.488767
123,Instagram,Sample post content 123,-52.074057,156.673719,2024-06-15T12:51:50.488778
124,Facebook,Sample post content 124,71.960467,-163.818551,2025-04-04T12:51:50.488788
125,Twitter,Sample post content 125,-15.137721,86.573346,2024-08-23T12:51:50.488797
126,Facebook,Sample post content 126,79.092284,-26.810754,2024-07-23T12:51:50.488807
127,Instagram,Sample post content 127,38.479937,-18.538206,2024-10-17T12:51:50.488817
128,Facebook,Sample post content 128,-9.175054,14.572854,2024-11-26T12:51:50.488827
129,Twitter,Sample post content 129,72.240498,3.402929,2025-04-06T12:51:50.488837
130,Facebook,Sample post content 130,-14.390359,76.4481,2024-07-22T12:51:50.488847
131,Facebook,Sample post content 131,-76.982541,-141.449922,2024-09-10T12:51:50.488856
132,Instagram,Sample post content 132,-45.832259,73.081769,2024-05-04T12:51:50.488866
133,Facebook,Sample post content 133,15.290812,124.585881,2025-03-13T12:51:50.488875
134,Instagram,Sample post content 134,-57.485557,-30.903005,2024-05-08T12:51:50.488885
135,Facebook,Sample post content 135,3.9884,-109.990573,2025-02-16T12:51:50.488895
136,Facebook,Sample post content 136,-24.243586,69.730237,2025-01-13T12:51:50.488905
137,Instagram,Sample post content 137,-0.151744,127.33526,2024-07-11T12:51:50.488923
138,Instagram,Sample post content 138,6.148193,0.34032,2024-07-04T12:51:50.488934
139,Facebook,Sample post content 139,57.220764,9.514083,2025-02-05T12:51:50.488943
140,Instagram,Sample post content 140,72.369293,-144.800288,2025-04-01T12:51:50.488953
141,Twitter,Sample post content 141,-70.250899,-159.091327,2024-12-03T12:51:50.488962
142,Facebook,Sample post content 142,-47.200849,-74.439757,2025-03-09T12:51:50.488972
143,Twitter,Sample post content 143,42.56261,-74.476668,2025-02-14T12:51:50.488981
144,Facebook,Sample post content 144,-11.543422,-128.072242,2024-10-10T12:51:50.488991
145,Instagram,Sample post content 145,25.554581,-12.822043,2024-08-02T12:51:50.489000
146,Facebook,Sample post content 146,-44.7932,-120.395148,2024-10-15T12:51:50.489009
147,Facebook,Sample post content 147,8.621779,22.079379,2025-02-20T12:51:50.489019
148,Facebook,Sample post content 148,-49.869786,-48.27285,2024-06-08T12:51:50.489028
149,Twitter,Sample post content 149,53.673735,-45.332825,2024-11-05T12:51:50.489041
150,Facebook,Sample post content 150,0.303175,-28.268457,2024-10-22T12:51:50.489051
151,Facebook,Sample post content 151,63.341011,-122.566256,2025-01-03T12:51:50.489060
152,Facebook,Sample post content 152,-51.411367,16.139877,2024-12-23T12:51:50.489069
153,Instagram,Sample post content 153,-55.912129,-133.640749,2024-07-03T12:51:50.489079
154,Twitter,Sample post content 154,-48.48057,-69.94923,2025-02-07T12:51:50.489088
155,Facebook,Sample post content 155,58.335214,-178.569925,2025-03-24T12:51:50.489097
156,Instagram,Sample post content 156,54.085601,120.049032,2024-12-09T12:51:50.489107
157,Twitter,Sample post content 157,19.453502,-121.901533,2024-09-13T12:51:50.489117
158,Twitter,Sample post content 158,70.279976,164.751523,2024-10-04T12:51:50.489126
159,Facebook,Sample post content 159,-5.078116,1.402149,2024-07-12T12:51:50.489136
160,Instagram,Sample post content 160,80.545384,84.237038,2024-12-14T12:51:50.489145
161,Twitter,Sample post content 161,86.82423,13.547556,2024-12-18T12:51:50.489154
162,Facebook,Sample post content 162,0.938421,108.550391,2025-03-19T12:51:50.489164
163,Twitter,Sample post content 163,-34.839424,29.918345,2025-04-01T12:51:50.489173
164,Twitter,Sample post content 164,-49.551729,158.630882,2025-03-24T12:51:50.489183
165,Instagram,Sample post content 165,-77.72258,-16.492662,2024-10-10T12:51:50.489192
166,Instagram,Sample post content 166,-57.788355,-137.866857,2024-10-30T12:51:50.489201
167,Facebook,Sample post content 167,-72.362055,147.982008,2024-05-16T12:51:50.489211
168,Instagram,Sample post content 168,21.311231,-14.605083,2024-09-14T12:51:50.489220
169,Instagram,Sample post content 169,80.221079,-14.845288,2024-06-12T12:51:50.489230
170,Twitter,Sample post content 170,-31.159686,-163.867817,2024-12-21T12:51:50.489240
171,Instagram,Sample post content 171,42.304772,26.054606,2024-10-23T12:51:50.489249
172,Twitter,Sample post content 172,-44.268749,-130.412648,2025-01-20T12:51:50.489259
173,Instagram,Sample post content 173,80.584257,8.901644,2025-01-28T12:51:50.489268
174,Twitter,Sample post content 174,9.931523,-71.648489,2024-12-02T12:51:50.489282
175,Instagram,Sample post content 175,-9.42472,-107.661528,2024-07-14T12:51:50.489299
176,Twitter,Sample post content 176,81.245774,-159.225337,2024-11-15T12:51:50.489309
177,Facebook,Sample post content 177,27.673519,69.407541,2024-05-09T12:51:50.489318
178,Facebook,Sample post content 178,-64.356539,-127.323159,2024-07-21T12:51:50.489327
179,Instagram,Sample post content 179,-36.072032,-141.067241,2025-03-08T12:51:50.489337
180,Instagram,Sample post content 180,-83.19319,15.115513,2024-09-29T12:51:50.489346
181,Instagram,Sample post content 181,48.636979,96.830094,2024-07-17T12:51:50.489356
182,Instagram,Sample post content 182,-14.533383,74.302766,2025-03-07T12:51:50.489366
183,Twitter,Sample post content 183,-57.51399,103.406124,2025-02-03T12:51:50.489375
184,Instagram,Sample post content 184,13.31509,-57.63884,2024-09-15T12:51:50.489385
185,Instagram,Sample post content 185,61.943248,-150.612814,2024-09-20T12:51:50.489394
186,Facebook,Sample post content 186,64.406909,159.143023,2024-05-16T12:51:50.489403
187,Instagram,Sample post content 187,16.964056,84.844457,2025-04-25T12:51:50.489413
188,Instagram,Sample post content 188,39.853554,16.370666,2024-09-21T12:51:50.489422
189,Twitter,Sample post content 189,86.494837,17.263357,2025-01-03T12:51:50.489431
190,Instagram,Sample post content 190,-44.115136,-89.026863,2024-12-09T12:51:50.489443
191,Facebook,Sample post content 191,82.580747,111.849891,2024-12-20T12:51:50.489459
192,Instagram,Sample post content 192,-52.228621,-9.237535,2025-03-03T12:51:50.489476
193,Twitter,Sample post content 193,43.665464,161.567381,2024-09-28T12:51:50.489530
194,Instagram,Sample post content 194,-4.88043,25.788632,2025-01-29T12:51:50.489540
195,Instagram,Sample post content 195,-2.844376,9.772347,2024-06-14T12:51:50.489550
196,Facebook,Sample post content 196,-40.330232,-15.059888,2024-10-21T12:51:50.489559
197,Twitter,Sample post content 197,-25.937237,27.104245,2024-09-22T12:51:50.489568
198,Facebook,Sample post content 198,-75.005857,72.974485,2025-02-21T12:51:50.489578
199,Instagram,Sample post content 199,89.797758,102.182453,2024-11-29T12:51:50.489587
200,Facebook,Sample post content 200,19.263549,47.220577,2024-09-12T12:51:50.489597
201,Instagram,Sample post content 201,56.214181,44.351822,2024-05-09T12:51:50.489606
202,Instagram,Sample post content 202,-84.705152,-23.625376,2024-06-04T12:51:50.489615
203,Facebook,Sample post content 203,-72.161584,179.11402,2024-06-28T12:51:50.489633
204,Instagram,Sample post content 204,75.774453,-126.840112,2024-11-01T12:51:50.489643
205,Facebook,Sample post content 205,70.309237,107.110811,2025-03-28T12:51:50.489654
206,Twitter,Sample post content 206,-22.935217,-22.880896,2024-09-15T12:51:50.489670
207,Facebook,Sample post content 207,-23.344878,45.659159,2024-05-10T12:51:50.489687
208,Instagram,Sample post content 208,35.924351,23.577338,2024-07-11T12:51:50.489697
209,Twitter,Sample post content 209,48.578236,-88.214697,2025-02-23T12:51:50.489707
210,Twitter,Sample post content 210,-53.68475,40.306719,2024-07-25T12:51:50.489716
211,Twitter,Sample post content 211,-59.25828,114.02041,2025-02-03T12:51:50.489726
212,Instagram,Sample post content 212,60.496583,-21.988064,2025-04-08T12:51:50.489741
213,Instagram,Sample post content 213,83.998992,130.695414,2024-12-01T12:51:50.489760
214,Twitter,Sample post content 214,18.392499,57.758029,2024-06-16T12:51:50.489772
215,Facebook,Sample post content 215,49.384517,-121.303854,2025-03-05T12:51:50.489781
216,Facebook,Sample post content 216,62.329621,129.572171,2025-01-20T12:51:50.489791
217,Facebook,Sample post content 217,23.78756,-154.61252,2024-07-30T12:51:50.489801
218,Instagram,Sample post content 218,-79.493231,83.719718,2025-01-13T12:51:50.489810
219,Facebook,Sample post content 219,-85.28149,71.022827,2025-01-26T12:51:50.489819
220,Instagram,Sample post content 220,79.354903,-58.538145,2024-08-05T12:51:50.489829
221,Twitter,Sample post content 221,-26.437498,-94.870745,2025-03-21T12:51:50.489838
222,Instagram,Sample post content 222,88.457912,-83.083252,2024-11-01T12:51:50.489848
223,Facebook,Sample post content 223,1.244128,-148.725432,2024-07-29T12:51:50.489857
224,Instagram,Sample post content 224,59.414146,164.862179,2024-05-25T12:51:50.489866
225,Instagram,Sample post content 225,16.319706,143.900769,2024-09-29T12:51:50.489876
226,Instagram,Sample post content 226,-71.49157,101.568134,2024-12-15T12:51:50.489885
227,Facebook,Sample post content 227,35.157559,176.617001,2024-05-04T12:51:50.489894
228,Twitter,Sample post content 228,-69.340828,40.708017,2024-08-11T12:51:50.489904
229,Facebook,Sample post content 229,47.804182,-151.880664,2024-08-15T12:51:50.489914
230,Facebook,Sample post content 230,29.106131,146.99703,2024-06-06T12:51:50.489923
231,Facebook,Sample post content 231,67.088311,149.741485,2025-03-26T12:51:50.489932
232,Facebook,Sample post content 232,-0.174382,140.525396,2024-12-08T12:51:50.489942
233,Instagram,Sample post content 233,3.640322,158.761543,2024-06-27T12:51:50.489952
234,Twitter,Sample post content 234,-3.577596,54.283195,2025-03-28T12:51:50.489961
235,Twitter,Sample post content 235,-28.544738,-57.570344,2024-05-02T12:51:50.489971
236,Twitter,Sample post content 236,-65.112754,-23.395901,2024-08-27T12:51:50.489981
237,Instagram,Sample post content 237,12.557283,-34.17488,2024-06-17T12:51:50.489991
238,Facebook,Sample post content 238,66.732011,163.641648,2024-10-27T12:51:50.490000
239,Twitter,Sample post content 239,-87.845882,-96.074702,2024-12-31T12:51:50.490009
240,Facebook,Sample post content 240,61.332736,-118.749913,2024-11-13T12:51:50.490018
241,Facebook,Sample post content 241,29.945394,-103.080899,2025-04-13T12:51:50.490028
242,Facebook,Sample post content 242,-17.234496,113.211015,2024-05-18T12:51:50.490038
243,Facebook,Sample post content 243,15.851345,-5.036342,2024-10-29T12:51:50.490047
244,Facebook,Sample post content 244,68.110758,-70.985383,2025-02-04T12:51:50.490056
245,Twitter,Sample post content 245,-70.277206,-83.898768,2024-08-24T12:51:50.490066
246,Facebook,Sample post content 246,81.812259,-163.788608,2024-10-25T12:51:50.490075
247,Instagram,Sample post content 247,19.013328,106.880182,2024-06-14T12:51:50.490084
248,Instagram,Sample post content 248,8.796581,-176.426822,2025-02-27T12:51:50.490094
249,Twitter,Sample post content 249,36.808815,-41.766123,2025-03-24T12:51:50.490103
250,Instagram,Sample post content 250,58.393661,-46.401915,2025-02-02T12:51:50.490112
251,Instagram,Sample post content 251,-1.72642,33.522592,2025-03-20T12:51:50.490122
252,Instagram,Sample post content 252,-34.529962,-19.391033,2024-12-31T12:51:50.490131
253,Facebook,Sample post content 253,-55.25365,24.644456,2024-08-14T12:51:50.490140
254,Twitter,Sample post content 254,-26.348209,-159.111128,2024-09-08T12:51:50.490150
255,Twitter,Sample post content 255,32.11819,42.279682,2025-04-28T12:51:50.490160
256,Twitter,Sample post content 256,-74.82606,-45.096312,2024-07-18T12:51:50.490170
257,Instagram,Sample post content 257,-6.660528,86.918141,2025-02-23T12:51:50.490179
258,Facebook,Sample post content 258,-13.895501,-0.289714,2025-03-13T12:51:50.490189
259,Twitter,Sample post content 259,49.661713,112.75064,2025-03-20T12:51:50.490199
260,Facebook,Sample post content 260,-59.161155,-159.487779,2024-06-09T12:51:50.490208
261,Instagram,Sample post content 261,0.752478,65.66568,2024-06-10T12:51:50.490218
262,Twitter,Sample post content 262,-65.300603,106.462986,2025-04-02T12:51:50.490227
263,Instagram,Sample post content 263,66.294134,-62.12943,2024-05-15T12:51:50.490236
264,Twitter,Sample post content 264,43.748801,-85.06283,2024-05-26T12:51:50.490246
265,Instagram,Sample post content 265,-2.774476,162.844975,2025-03-03T12:51:50.490255
266,Facebook,Sample post content 266,-1.355902,-153.619043,2025-02-18T12:51:50.490264
267,Facebook,Sample post content 267,41.769121,-168.242028,2025-03-17T12:51:50.490274
268,Instagram,Sample post content 268,23.031226,110.671666,2024-08-15T12:51:50.490283
269,Twitter,Sample post content 269,-26.453153,91.285023,2024-05-03T12:51:50.490293
270,Instagram,Sample post content 270,-57.929203,33.988097,2024-12-29T12:51:50.490302
271,Twitter,Sample post content 271,-2.461832,-112.226369,2024-12-23T12:51:50.490312
272,Instagram,Sample post content 272,-85.479449,168.58165,2025-03-06T12:51:50.490321
273,Instagram,Sample post content 273,64.701089,-151.727525,2024-06-10T12:51:50.490330
274,Instagram,Sample post content 274,-7.054221,-147.72964,2024-11-13T12:51:50.490340
275,Instagram,Sample post content 275,54.693651,150.23119,2024-07-31T12:51:50.490356
276,Twitter,Sample post content 276,-82.218991,-158.950668,2025-03-03T12:51:50.490370
277,Instagram,Sample post content 277,18.890505,51.027604,2024-10-10T12:51:50.490380
278,Instagram,Sample post content 278,-70.0,129.403755,2024-11-03T12:51:50.490390
279,Facebook,Sample post content 279,6.207757,48.106181,2024-12-02T12:51:50.490399
280,Instagram,Sample post content 280,-52.872418,170.787918,2025-04-04T12:51:50.490409
281,Instagram,Sample post content 281,-84.962161,-36.412334,2024-06-13T12:51:50.490418
282,Instagram,Sample post content 282,31.937804,141.108971,2024-11-21T12:51:50.490428
283,Facebook,Sample post content 283,9.719474,-179.05515,2024-12-02T12:51:50.490437
284,Twitter,Sample post content 284,41.870085,-66.253169,2024-09-02T12:51:50.490446
285,Instagram,Sample post content 285,2.233159,-72.948017,2025-01-28T12:51:50.490455
286,Instagram,Sample post content 286,-43.960248,-71.930083,2024-07-01T12:51:50.490465
287,Facebook,Sample post content 287,86.184775,153.83702,2024-09-13T12:51:50.490474
288,Facebook,Sample post content 288,-7.457613,-111.96736,2025-04-15T12:51:50.490529
289,Twitter,Sample post content 289,41.1952,150.386619,2025-02-08T12:51:50.490550
290,Twitter,Sample post content 290,-86.544922,36.479188,2024-12-27T12:51:50.490565
291,Twitter,Sample post content 291,0.993099,-151.128166,2024-08-23T12:51:50.490582
292,Twitter,Sample post content 292,75.68056,-129.091269,2024-09-29T12:51:50.490592
293,Facebook,Sample post content 293,-50.935567,163.173216,2025-03-08T12:51:50.490601
294,Instagram,Sample post content 294,77.927133,151.898353,2025-04-24T12:51:50.490611
295,Twitter,Sample post content 295,54.128979,81.404956,2024-08-16T12:51:50.490620
296,Facebook,Sample post content 296,-50.833634,138.500476,2024-10-10T12:51:50.490632
297,Facebook,Sample post content 297,68.947738,-155.761907,2025-01-14T12:51:50.490642
298,Twitter,Sample post content 298,21.424299,-63.780118,2024-09-12T12:51:50.490651
299,Twitter,Sample post content 299,-14.156863,92.028797,2025-02-14T12:51:50.490661
300,Instagram,Sample post content 300,40.981139,-141.787209,2024-09-08T12:51:50.490670
301,Facebook,Sample post content 301,8.727819,-173.66351,2024-05-07T12:51:50.490680
302,Twitter,Sample post content 302,-52.779797,-130.672097,2024-08-18T12:51:50.490689
303,Facebook,Sample post content 303,46.08639,-82.274308,2025-04-23T12:51:50.490699
304,Facebook,Sample post content 304,40.114079,-3.440948,2024-11-13T12:51:50.490708
305,Twitter,Sample post content 305,-25.800092,-29.512768,2024-08-22T12:51:50.490717
306,Twitter,Sample post content 306,31.458325,-63.970374,2025-03-27T12:51:50.490728
307,Facebook,Sample post content 307,-46.986644,-58.125434,2024-05-06T12:51:50.490744
308,Twitter,Sample post content 308,82.898487,-40.133255,2024-07-31T12:51:50.490762
309,Instagram,Sample post content 309,35.92245,-178.249101,2025-04-02T12:51:50.490772
310,Instagram,Sample post content 310,65.851636,-92.411721,2025-02-08T12:51:50.490781
311,Twitter,Sample post content 311,-23.718607,-34.116735,2025-03-28T12:51:50.490790
312,Instagram,Sample post content 312,2.092584,-101.787934,2024-07-02T12:51:50.490800
313,Instagram,Sample post content 313,-70.942042,-45.31603,2024-09-26T12:51:50.490816
314,Twitter,Sample post content 314,82.12087,30.274336,2024-06-03T12:51:50.490836
315,Facebook,Sample post content 315,-15.292107,-143.826989,2024-07-19T12:51:50.490846
316,Twitter,Sample post content 316,-41.468255,46.805394,2024-11-05T12:51:50.490856
317,Facebook,Sample post content 317,-16.797092,129.804125,2024-05-24T12:51:50.490865
318,Instagram,Sample post content 318,39.190872,27.321963,2025-02-05T12:51:50.490874
319,Facebook,Sample post content 319,58.279228,158.42327,2025-03-14T12:51:50.490883
320,Instagram,Sample post content 320,-14.834224,52.99585,2024-05-07T12:51:50.490893
321,Instagram,Sample post content 321,44.523344,48.968784,2025-02-17T12:51:50.490902
322,Facebook,Sample post content 322,38.976712,5.050744,2024-09-28T12:51:50.490912
323,Instagram,Sample post content 323,-18.757525,-109.21168,2025-03-14T12:51:50.490921
324,Facebook,Sample post content 324,11.986608,20.449856,2024-07-01T12:51:50.490930
325,Facebook,Sample post content 325,-89.766033,84.363202,2024-12-03T12:51:50.490940
326,Facebook,Sample post content 326,-49.484771,-17.699064,2025-02-16T12:51:50.490949
327,Twitter,Sample post content 327,57.977779,96.339663,2025-03-27T12:51:50.490958
328,Instagram,Sample post content 328,32.755707,-154.10179,2025-03-02T12:51:50.490968
329,Facebook,Sample post content 329,22.623038,50.166177,2024-10-04T12:51:50.490977
330,Instagram,Sample post content 330,-31.391699,136.094067,2024-11-13T12:51:50.490987
331,Instagram,Sample post content 331,-36.240915,162.534045,2024-10-13T12:51:50.490997
